ObjectName,x_pos,y_pos,z_pos,w_qua,x_qua,y_qua,z_qua
Ground,-56.89999771118164,-1.5,1.0199999809265137,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_4,-31.899999618530273,23.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
SkyShereBlueprint,-56.89999771118164,1.0,2.0199999809265137,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_7,-31.899999618530273,23.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_6,-31.899999618530273,-26.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_10,-31.899999618530273,-26.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_8,-31.899999618530273,33.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_9,-31.899999618530273,33.5,-6.480000019073486,1.0,-0.0,0.0,0.0
Ground_2,-56.89999771118164,78.5,1.0199999809265137,1.0,-0.0,0.0,0.0
Ground_3,23.100000381469727,78.5,1.0199999809265137,1.0,-0.0,0.0,0.0
Ground_4,-56.89999771118164,-81.5,1.0199999809265137,1.0,-0.0,0.0,0.0
Ground_5,23.100000381469727,-1.899999976158142,1.0199999809265137,1.0,-0.0,0.0,0.0
Ground_6,23.100000381469727,-81.5,1.0199999809265137,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_48,-21.899999618530273,-26.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_49,-21.899999618530273,-26.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_52,-21.899999618530273,-36.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_13,-21.899999618530273,-36.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_55,-31.899999618530273,-36.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_56,-31.899999618530273,-36.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_61,-21.899999618530273,23.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_62,-21.899999618530273,23.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_65,-21.899999618530273,33.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_66,-21.899999618530273,33.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_69,-31.899999618530273,-36.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_70,-31.899999618530273,-36.5,-16.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_75,28.099998474121094,-6.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_76,28.099998474121094,-6.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_77,28.099998474121094,-16.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_78,28.099998474121094,-16.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_26,28.099998474121094,13.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_83,28.099998474121094,13.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_84,28.099998474121094,3.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_85,28.099998474121094,3.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_92,38.099998474121094,-6.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_31,38.099998474121094,-16.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_93,38.099998474121094,13.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_94,38.099998474121094,13.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_96,38.099998474121094,3.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_103,48.099998474121094,-6.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_104,48.099998474121094,-16.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_105,48.099998474121094,13.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_106,48.099998474121094,13.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_108,48.099998474121094,3.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_115,58.099998474121094,-6.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_116,58.099998474121094,-16.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_117,58.099998474121094,13.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_45,58.099998474121094,13.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_47,58.099998474121094,3.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_124,38.099998474121094,-16.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_125,48.099998474121094,-16.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_126,58.099998474121094,-6.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_128,58.099998474121094,3.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_50,48.099998474121094,13.5,-16.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_51,48.099998474121094,3.5,-16.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_133,58.099998474121094,13.5,-16.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_53,58.099998474121094,3.5,-16.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_54,48.099998474121094,13.5,-21.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_138,48.099998474121094,3.5,-21.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_139,58.099998474121094,13.5,-21.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_57,58.099998474121094,3.5,-21.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_142,-71.9000015258789,53.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_143,-71.9000015258789,53.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_60,-71.9000015258789,53.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_146,-71.9000015258789,53.5,-16.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_152,-71.9000015258789,-56.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_64,-71.9000015258789,-56.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_63,-71.9000015258789,-56.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_151,-71.9000015258789,-56.5,-16.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_154,-71.9000015258789,53.5,-21.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_160,58.099998474121094,-116.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_159,58.099998474121094,-116.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_68,58.099998474121094,-106.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_67,58.099998474121094,-106.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_74,48.099998474121094,-116.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_73,48.099998474121094,-116.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_72,48.099998474121094,-106.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_71,48.099998474121094,-106.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_82,58.099998474121094,103.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_81,58.099998474121094,103.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_80,58.099998474121094,113.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_79,58.099998474121094,113.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_176,48.099998474121094,103.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_175,48.099998474121094,103.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_174,48.099998474121094,113.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_173,48.099998474121094,113.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_90,-81.9000015258789,103.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_89,-82.0,103.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_88,-81.9000015258789,113.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_87,-81.9000015258789,113.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_86,-92.0,103.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_187,-91.9000015258789,103.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_186,-91.9000015258789,113.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_185,-92.0,113.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_98,-81.9000015258789,-116.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_97,-81.9000015258789,-116.5,-6.480000019073486,1.0,-0.0,0.0,0.0
